hand_value,is_soft,dealer_upcard,can_double,action,estimated_value,visits
4,False,1,True,HIT,-0.909091,22
4,False,1,True,STAND,-0.703349,209
4,False,1,True,DOUBLE,-0.823529,17
4,False,2,True,HIT,-0.267442,172
4,False,2,True,STAND,-0.700000,20
4,False,2,True,DOUBLE,-0.727273,22
4,False,3,True,HIT,-0.263158,19
4,False,3,True,STAND,-0.047619,63
4,False,3,True,DOUBLE,-0.336000,125
4,False,4,True,HIT,-0.101010,198
4,False,4,True,STAND,-0.500000,16
4,False,4,True,DOUBLE,-1.238095,21
4,False,5,True,HIT,-0.163265,98
4,False,5,True,STAND,-0.075472,106
4,False,5,True,DOUBLE,-1.384615,13
4,False,6,True,HIT,-0.129412,85
4,False,6,True,STAND,-0.409091,44
4,False,6,True,DOUBLE,-0.226087,115
4,False,7,True,HIT,-0.648649,74
4,False,7,True,STAND,-0.724138,58
4,False,7,True,DOUBLE,-0.654545,110
4,False,8,True,HIT,-0.524324,185
4,False,8,True,STAND,-0.642857,28
4,False,8,True,DOUBLE,-2.000000,12
4,False,9,True,HIT,-0.505155,194
4,False,9,True,STAND,-0.714286,7
4,False,9,True,DOUBLE,-1.428571,21
4,False,10,True,HIT,-0.696970,66
4,False,10,True,STAND,-0.544137,759
4,False,10,True,DOUBLE,-1.272727,66
5,False,1,True,HIT,-0.849624,133
5,False,1,True,STAND,-0.761589,302
5,False,1,True,DOUBLE,-1.411765,34
5,False,2,True,HIT,-0.212121,33
5,False,2,True,STAND,-0.232704,318
5,False,2,True,DOUBLE,-0.448980,49
5,False,3,True,HIT,-0.407407,27
5,False,3,True,STAND,-0.224599,374
5,False,3,True,DOUBLE,-0.800000,40
5,False,4,True,HIT,-0.750000,24
5,False,4,True,STAND,-0.195467,353
5,False,4,True,DOUBLE,-0.400000,65
5,False,5,True,HIT,-0.121212,66
5,False,5,True,STAND,-0.111111,324
5,False,5,True,DOUBLE,-1.151515,33
5,False,6,True,HIT,-0.186813,91
5,False,6,True,STAND,-0.080537,298
5,False,6,True,DOUBLE,-0.139535,86
5,False,7,True,HIT,-0.491525,59
5,False,7,True,STAND,-0.415789,380
5,False,7,True,DOUBLE,-0.790698,43
5,False,8,True,HIT,-0.511628,86
5,False,8,True,STAND,-0.478261,368
5,False,8,True,DOUBLE,-1.259259,27
5,False,9,True,HIT,-0.615385,52
5,False,9,True,STAND,-0.608069,347
5,False,9,True,DOUBLE,-0.871795,39
5,False,10,True,HIT,-0.573351,1486
5,False,10,True,STAND,-0.700000,120
5,False,10,True,DOUBLE,-1.247863,117
6,False,1,False,HIT,-0.851852,27
6,False,1,False,STAND,-1.000000,6
6,False,1,True,HIT,-0.724638,414
6,False,1,True,STAND,-0.772059,272
6,False,1,True,DOUBLE,-1.520000,50
6,False,2,False,HIT,-0.000000,20
6,False,2,False,STAND,-1.000000,3
6,False,2,True,HIT,-0.293680,538
6,False,2,True,STAND,-0.365854,82
6,False,2,True,DOUBLE,-0.823529,34
6,False,3,False,HIT,-0.200000,10
6,False,3,False,STAND,-0.090909,11
6,False,3,True,HIT,-0.431373,51
6,False,3,True,STAND,-0.289963,538
6,False,3,True,DOUBLE,-0.336449,107
6,False,4,False,HIT,-0.263158,19
6,False,4,False,STAND,-0.500000,4
6,False,4,True,HIT,-0.123810,105
6,False,4,True,STAND,-0.105660,530
6,False,4,True,DOUBLE,-0.689655,58
6,False,5,False,HIT,-0.333333,6
6,False,5,False,STAND,-0.225806,31
6,False,5,True,HIT,-0.617021,47
6,False,5,True,STAND,-0.200795,503
6,False,5,True,DOUBLE,-0.275229,109
6,False,6,False,HIT,0.217391,23
6,False,6,False,STAND,0.000000,2
6,False,6,True,HIT,-0.245283,53
6,False,6,True,STAND,-0.133208,533
