count,can_double,can_split,hand,dealer_upcard,recommendation,state_visits,q_hit,visits_hit,q_stand,visits_stand,q_double,visits_double,q_split,visits_split
<1,False,False,<8,2,S,50,-0.6,5,-0.3333333333333333,42,-100.0,1,-100.0,2
<1,False,False,<8,3,S,55,-34.0,3,-0.74468085106383,47,-100.0,3,-100.0,2
<1,False,False,<8,4,S,57,-0.7142857142857143,7,-0.0697674418604651,43,-100.0,4,-100.0,3
<1,False,False,<8,5,S,56,-8.153846153846153,26,-0.25,24,-100.0,2,-100.0,4
<1,False,False,<8,6,S,56,-0.5,4,-0.18367346938775506,49,-100.0,2,-100.0,1
<1,False,False,<8,7,S,59,-5.238095238095238,21,-0.75,32,-100.0,5,-100.0,1
<1,False,False,<8,8,S,69,-2.880952380952381,42,-0.5454545454545454,22,-100.0,1,-100.0,4
<1,False,False,<8,9,S,63,-7.642857142857142,14,-0.5555555555555554,45,-100.0,2,-100.0,2
<1,False,False,<8,10,S,290,-3.090909090909091,33,-0.506172839506173,243,-100.0,11,-100.0,3
<1,False,False,<8,1,H,46,-0.4166666666666667,36,-0.5,4,-100.0,2,-100.0,4
<1,False,False,8 (other composition),2,S,87,-11.999999999999998,8,-0.4794520547945204,73,-100.0,3,-100.0,3
<1,False,False,8 (other composition),3,S,75,-1.0,2,-0.27536231884057977,69,-100.0,2,-100.0,2
<1,False,False,8 (other composition),4,S,88,-13.533333333333335,15,-0.2647058823529413,68,-100.0,2,-100.0,3
<1,False,False,8 (other composition),5,S,95,-4.800000000000001,20,-0.40277777777777785,72,-100.0,2,-100.0,1
<1,False,False,8 (other composition),6,S,102,-2.6666666666666665,36,-0.22033898305084748,59,-100.0,1,-100.0,6
<1,False,False,8 (other composition),7,S,99,-2.375,48,-0.255813953488372,43,-100.0,4,-100.0,4
<1,False,False,8 (other composition),8,S,91,-1.0,3,-0.3750000000000001,80,-100.0,2,-100.0,6
<1,False,False,8 (other composition),9,S,92,-33.33333333333333,3,-0.5294117647058822,85,-100.0,1,-100.0,3
<1,False,False,8 (other composition),10,S,401,-3.875000000000001,24,-0.5431034482758619,348,-100.0,15,-100.0,14
<1,False,False,8 (other composition),1,S,106,-1.0,4,-0.6842105263157892,95,-100.0,5,-100.0,2
<1,False,False,9,2,S,128,-6.857142857142858,14,-0.17307692307692307,104,-100.0,4,-100.0,6
<1,False,False,9,3,S,150,-2.6279069767441867,43,-0.23711340206185563,97,-100.0,4,-100.0,6
<1,False,False,9,4,S,134,-3.4642857142857144,28,-0.14285714285714285,98,-100.0,3,-100.0,5
<1,False,False,9,5,S,148,-1.0,2,0.014492753623188434,138,-100.0,3,-100.0,5
<1,False,False,9,6,S,164,-3.3000000000000003,30,-0.28,125,-100.0,4,-100.0,5
<1,False,False,9,7,S,159,-4.761904761904762,21,-0.5781249999999999,128,-100.0,4,-100.0,6
<1,False,False,9,8,S,189,-1.0860215053763442,93,-0.32558139534883723,86,-100.0,2,-100.0,8
<1,False,False,9,9,S,188,-6.312499999999999,16,-0.5714285714285714,161,-100.0,3,-100.0,8
<1,False,False,9,10,S,648,-9.545454545454547,11,-0.5510887772194304,597,-100.0,18,-100.0,22
<1,False,False,9,1,S,142,-8.25,12,-0.6319999999999997,125,-100.0,1,-100.0,4
<1,False,False,10,2,S,247,-4.086956521739131,23,-0.2200956937799044,209,-100.0,9,-100.0,6
<1,False,False,10,3,S,204,-1.811320754716981,53,-0.2608695652173913,138,-100.0,9,-100.0,4
<1,False,False,10,4,S,237,-2.5,42,-0.40331491712707196,181,-100.0,11,-100.0,3
<1,False,False,10,5,S,257,-24.749999999999996,4,-0.04201680672268908,238,-100.0,9,-100.0,6
<1,False,False,10,6,S,248,-9.466666666666667,30,-0.0461538461538461,195,-100.0,11,-100.0,12
<1,False,False,10,7,S,312,-0.780952380952381,105,-0.48351648351648346,182,-100.0,13,-100.0,12
<1,False,False,10,8,S,278,-1.9375000000000004,48,-0.4325581395348837,215,-100.0,7,-100.0,8
<1,False,False,10,9,S,263,-16.499999999999996,12,-0.584033613445378,238,-100.0,4,-100.0,9
<1,False,False,10,10,S,1147,-2.6153846153846145,78,-0.5681818181818187,1012,-100.0,28,-100.0,29
<1,False,False,10,1,S,195,-5.157894736842104,38,-0.7605633802816898,142,-100.0,4,-100.0,11
<1,False,False,11,2,S,330,-15.8,25,-0.34827586206896544,290,-100.0,7,-100.0,8
<1,False,False,11,3,S,371,-10.88888888888889,9,-0.2325581395348835,344,-100.0,10,-100.0,8
<1,False,False,11,4,S,325,-2.0999999999999996,40,-0.32363636363636356,275,-100.0,5,-100.0,5
<1,False,False,11,5,S,303,-6.11764705882353,17,-0.11355311355311357,273,-100.0,6,-100.0,7
<1,False,False,11,6,S,337,-17.72727272727273,11,-0.12297734627831716,309,-100.0,10,-100.0,7
<1,False,False,11,7,S,306,-1.1093750000000004,64,-0.4260089686098655,223,-100.0,7,-100.0,12
<1,False,False,11,8,S,388,-11.111111111111107,9,-0.4787535410764873,353,-100.0,15,-100.0,11
<1,False,False,11,9,S,369,-2.3571428571428577,42,-0.5324675324675323,308,-100.0,10,-100.0,9
<1,False,False,11,10,S,1471,-5.71698113207547,53,-0.5349182763744428,1346,-100.0,37,-100.0,35
<1,False,False,11,1,S,347,-8.652173913043477,23,-0.5928338762214986,307,-100.0,6,-100.0,11
<1,False,False,12,2,S,1064,-1.4404761904761905,84,-0.2715517241379307,928,-100.0,28,-100.0,24
<1,False,False,12,3,S,1055,-4.437500000000001,48,-0.272823779193206,942,-100.0,28,-100.0,37
<1,False,False,12,4,S,1134,-7.344827586206896,29,-0.21890067502410795,1037,-100.0,32,-100.0,36
<1,False,False,12,5,S,1083,-4.318181818181819,44,-0.17959183673469362,980,-100.0,30,-100.0,29
<1,False,False,12,6,S,1086,-4.115384615384617,26,-0.15659068384539157,1009,-100.0,21,-100.0,30
<1,False,False,12,7,S,1257,-2.921052631578948,38,-0.4731369150779897,1154,-100.0,24,-100.0,41
<1,False,False,12,8,S,1194,-3.125,72,-0.5090390104662229,1051,-100.0,40,-100.0,31
<1,False,False,12,9,S,1156,-11.02127659574468,47,-0.5232668566001891,1053,-100.0,31,-100.0,25
<1,False,False,12,10,S,4770,-3.053333333333336,150,-0.5483207676490736,4377,-100.0,116,-100.0,127
<1,False,False,12,1,S,916,-6.935483870967741,31,-0.6997635933806144,846,-100.0,22,-100.0,17
<1,False,False,13,2,S,1279,-5.112903225806453,62,-0.3244176013805008,1159,-100.0,31,-100.0,27
<1,False,False,13,3,S,1510,-2.2857142857142856,49,-0.2579941860465114,1376,-100.0,53,-100.0,32
<1,False,False,13,4,S,1411,-3.162162162162162,37,-0.5372340425531911,1316,-100.0,33,-100.0,25
<1,False,False,13,5,S,1582,-4.976190476190477,42,-0.2085020242914978,1482,-100.0,33,-100.0,25
<1,False,False,13,6,S,1494,-1.2522522522522528,111,-0.1196581196581196,1287,-100.0,48,-100.0,48
<1,False,False,13,7,S,1589,-4.072727272727274,55,-0.4388736263736264,1456,-100.0,39,-100.0,39
<1,False,False,13,8,S,1648,-1.9333333333333336,60,-0.4966931216931219,1512,-100.0,36,-100.0,40
<1,False,False,13,9,S,1606,-1.7733333333333332,75,-0.528120713305899,1458,-100.0,39,-100.0,34
<1,False,False,13,10,S,6546,-4.42603550295858,169,-0.543291473892926,6052,-100.0,160,-100.0,165
<1,False,False,13,1,S,1182,-4.8181818181818175,22,-0.6584699453551912,1098,-100.0,31,-100.0,31
<1,False,False,14,2,S,1847,-0.4249999999999999,40,-0.42028135990621296,1706,-100.0,52,-100.0,49
<1,False,False,14,3,S,1723,-1.5824175824175826,91,-0.30206985769728273,1546,-100.0,47,-100.0,39
<1,False,False,14,4,S,1730,-1.968253968253969,63,-0.3030495552731896,1574,-100.0,52,-100.0,41
<1,False,False,14,5,S,1668,-3.5333333333333337,60,-0.2030423280423281,1512,-100.0,52,-100.0,44
<1,False,False,14,6,S,1691,-1.2027027027027017,222,-0.2245188880969353,1403,-100.0,41,-100.0,25
<1,False,False,14,7,S,1902,-2.5604395604395602,91,-0.4534746760895169,1698,-100.0,54,-100.0,59
<1,False,False,14,8,S,1995,-2.764705882352941,85,-0.5109121432568541,1787,-100.0,59,-100.0,64
<1,False,False,14,9,S,1815,-2.583333333333333,48,-0.5529482551143201,1662,-100.0,51,-100.0,54
<1,False,False,14,10,S,7771,-3.8227848101265822,237,-0.5476423674268913,7147,-100.0,204,-100.0,183
<1,False,False,14,1,S,1482,-1.1804511278195482,133,-0.7165605095541405,1256,-100.0,51,-100.0,42
<1,False,False,15,2,S,2003,-3.8135593220338984,59,-0.2513484358144553,1854,-100.0,52,-100.0,38
<1,False,False,15,3,S,2088,-0.4909090909090909,55,-0.3343717549325029,1926,-100.0,55,-100.0,52
<1,False,False,15,4,S,1959,-3.1428571428571437,70,-0.2521102982554867,1777,-100.0,57,-100.0,55
<1,False,False,15,5,S,1926,-1.6710526315789485,76,-0.1928199189345689,1727,-100.0,67,-100.0,56
<1,False,False,15,6,S,2160,-2.37248322147651,298,-0.1626848691695109,1758,-100.0,55,-100.0,49
<1,False,False,15,7,S,2271,-3.3762376237623766,101,-0.45140913508260416,2058,-100.0,67,-100.0,45
<1,False,False,15,8,S,2137,-2.372549019607845,102,-0.5171517671517679,1924,-100.0,60,-100.0,51
<1,False,False,15,9,S,2226,-1.5604395604395607,91,-0.5536862939139044,2021,-100.0,59,-100.0,55
<1,False,False,15,10,S,8873,-1.6208178438661716,269,-0.5457991928580174,8177,-100.0,207,-100.0,220
<1,False,False,15,1,S,1684,-4.5200000000000005,50,-0.6855305466237935,1555,-100.0,38,-100.0,41
<1,False,False,16,2,S,2195,-1.5189873417721513,79,-0.3019057171514542,1994,-100.0,64,-100.0,58
<1,False,False,16,3,S,2139,-1.4919354838709675,124,-0.2505241090146751,1908,-100.0,55,-100.0,52
<1,False,False,16,4,S,2291,-3.6307692307692307,65,-0.22634331906799776,2103,-100.0,57,-100.0,66
<1,False,False,16,5,S,2239,-1.5052631578947364,95,-0.14636542239685654,2036,-100.0,47,-100.0,61
<1,False,False,16,6,S,2272,-2.478723404255318,94,-0.16054158607350094,2068,-100.0,61,-100.0,49
<1,False,False,16,7,S,2419,-3.6249999999999982,64,-0.4725568942436413,2241,-100.0,64,-100.0,50
<1,False,False,16,8,S,2448,-6.363636363636365,66,-0.5237676056338028,2272,-100.0,53,-100.0,57
<1,False,False,16,9,S,2461,-8.55405405405405,74,-0.5377063810798739,2241,-100.0,78,-100.0,68
<1,False,False,16,10,S,9915,-2.327464788732394,284,-0.5502958579881642,9126,-100.0,264,-100.0,241
<1,False,False,16,1,S,1863,-1.0872093023255818,172,-0.6849656893325023,1603,-100.0,40,-100.0,48
<1,False,False,>16,2,S,14757,-1.7966573816155977,359,0.4144428152492678,13640,-100.0,370,-100.0,388
<1,False,False,>16,3,S,14860,-1.4176829268292683,328,0.42338358944621557,13796,-100.0,376,-100.0,360
<1,False,False,>16,4,S,14727,-1.3964646464646457,396,0.46973151894078685,13595,-100.0,369,-100.0,367
<1,False,False,>16,5,S,14475,-2.4477611940298494,335,0.45114856801909087,13408,-100.0,345,-100.0,387
<1,False,False,>16,6,S,14889,-1.4518716577540105,374,0.48834338005665034,13769,-100.0,375,-100.0,371
<1,False,False,>16,7,S,16071,-1.2348284960422176,379,0.5290779194765302,14977,-100.0,345,-100.0,370
<1,False,False,>16,8,S,16388,-1.6944444444444444,396,0.45636699182704993,15172,-100.0,417,-100.0,403
<1,False,False,>16,9,S,16170,-1.880090497737556,442,0.35263404511680835,14939,-100.0,394,-100.0,395
<1,False,False,>16,10,S,65958,-1.8473748473748497,1638,0.2819780796744721,60948,-100.0,1696,-100.0,1676
<1,False,False,>16,1,S,12595,-1.3421052631578945,342,0.3203064474477052,11617,-100.0,318,-100.0,318
<1,False,False,ace two,2,S,32,-100.0,1,-0.6428571428571427,28,-100.0,2,-100.0,1
<1,False,False,ace two,3,S,20,-1.0,1,0.06666666666666668,15,-100.0,2,-100.0,2
<1,False,False,ace two,4,S,10,0.0,2,1.0,6,-100.0,1,-100.0,1
<1,False,False,ace two,5,S,31,-0.5,2,-0.12000000000000001,25,-100.0,1,-100.0,3
<1,False,False,ace two,6,S,23,-100.0,1,0.30000000000000004,20,-100.0,1,-100.0,1
<1,False,False,ace two,7,S,26,-100.0,1,-0.4545454545454546,22,-100.0,2,-100.0,1
<1,False,False,ace two,8,S,27,-8.818181818181817,11,-0.3846153846153846,13,-100.0,2,-100.0,1
<1,False,False,ace two,9,S,36,-1.0,1,-0.2121212121212121,33,-100.0,1,-100.0,1
