method,parameter,average_reward,standard_error,trials,steps,seed
epsilon_greedy,0.0078125,-0.365514,0.0013027920154490352,2000,1000,42
epsilon_greedy,0.015625,-0.36192650000000004,0.001252672001142447,2000,1000,42
epsilon_greedy,0.03125,-0.359635,0.0011869552724974326,2000,1000,42
epsilon_greedy,0.0625,-0.3529065,0.0010557258912491094,2000,1000,42
epsilon_greedy,0.125,-0.35219799999999996,0.0009535077275477354,2000,1000,42
epsilon_greedy,0.25,-0.3520785,0.0008360916178695585,2000,1000,42
epsilon_greedy,0.5,-0.36039750000000004,0.0007049405772714051,2000,1000,42
epsilon_greedy,1.0,-0.3795835,0.0006445993081046585,2000,1000,42
gradient,0.0078125,-0.3736725,0.00065122244065189,2000,1000,42
gradient,0.015625,-0.36904750000000003,0.0006509416136391831,2000,1000,42
gradient,0.03125,-0.3622665,0.0007008261678431868,2000,1000,42
gradient,0.0625,-0.353457,0.0007451598533895606,2000,1000,42
gradient,0.125,-0.3482005,0.0008062150092844945,2000,1000,42
gradient,0.25,-0.3483605,0.0009495781269514333,2000,1000,42
gradient,0.5,-0.3541685,0.0011038644899991758,2000,1000,42
gradient,1.0,-0.3627605,0.0012228056659679663,2000,1000,42
optimistic,0.0078125,-0.3527565,0.0008355607007975893,2000,1000,42
optimistic,0.015625,-0.3531555,0.000852293882593412,2000,1000,42
optimistic,0.03125,-0.35303,0.0008449346171471653,2000,1000,42
optimistic,0.0625,-0.35251150000000003,0.0008376958284637167,2000,1000,42
optimistic,0.125,-0.3523605,0.0008294737990235938,2000,1000,42
optimistic,0.25,-0.3532305,0.0008613539633623915,2000,1000,42
optimistic,0.5,-0.353402,0.0008461874583136431,2000,1000,42
optimistic,1.0,-0.35402600000000006,0.0008516935205380296,2000,1000,42
optimistic,2.0,-0.353914,0.0008572632338588089,2000,1000,42
optimistic,4.0,-0.35414249999999997,0.0008380434089309612,2000,1000,42
ucb,0.0078125,-0.3681315,0.0013672950858541475,2000,1000,42
ucb,0.015625,-0.3683215,0.001351421562279697,2000,1000,42
ucb,0.03125,-0.3682785,0.001353234307287622,2000,1000,42
ucb,0.0625,-0.36964199999999997,0.0013596080998186744,2000,1000,42
ucb,0.125,-0.37003949999999997,0.0013679514302169927,2000,1000,42
ucb,0.25,-0.36344550000000003,0.0013012738649918606,2000,1000,42
ucb,0.5,-0.34969399999999995,0.0010554822136595555,2000,1000,42
ucb,1.0,-0.3452835,0.0007571061145634439,2000,1000,42
ucb,2.0,-0.3567925,0.0007065750816778242,2000,1000,42
ucb,4.0,-0.36637549999999997,0.0006760127561653323,2000,1000,42
